Index,Mac
1998-10-01,1440.0
1998-10-02,1304.2079572753423
1998-10-03,1408.48413052933
1998-10-04,1367.778059759738
1998-10-05,1377.741134989088
1998-10-06,1380.3478173720805
1998-10-07,1391.0276110000086
1998-10-08,1368.5820726296174
1998-10-09,1375.0035948367859
1998-10-10,1363.5549573529177
1998-10-11,1385.214324052998
1998-10-12,1396.3841845439988
1998-10-13,1351.356405244308
1998-10-14,1359.8095832724719
1998-10-15,1323.4672116234992
1998-10-16,1337.5208707608615
1998-10-17,1307.7247185951894
1998-10-18,1403.892775150491
1998-10-19,1412.267354641631
1998-10-20,1335.211243355185
1998-10-21,1434.5769260480106
1998-10-22,1275.0052329264422
1998-10-23,1423.3860595259873
1998-10-24,1290.6991803395879
1998-10-25,1277.9358451042563
1998-10-26,1397.188220283806
1998-10-27,1423.0191530384768
1998-10-28,1290.124793516236
1998-10-29,1290.9378675306891
1998-10-30,1403.301350750385
1998-10-31,1326.3748533445314
1998-11-01,1360.3895994214367
1998-11-02,1285.1544628400577
1998-11-03,1393.23609947448
1998-11-04,1379.4931610687247
1998-11-05,1268.3376964097706
1998-11-06,1391.989293824869
1998-11-07,1394.5416029368291
1998-11-08,1341.864051522896
1998-11-09,1437.2161778773452
1998-11-10,1261.600505791583
1998-11-11,1313.7802680585812
1998-11-12,1427.1821212881196
1998-11-13,1419.917788426043
1998-11-14,1425.1332103038683
1998-11-15,1436.2315069961285
1998-11-16,1411.4563985235964
1998-11-17,1358.798739572297
1998-11-18,1327.1449493875236
1998-11-19,1404.0591426184078
1998-11-20,1307.7288457254372
1998-11-21,1343.3141083718576
1998-11-22,1281.3854513812516
1998-11-23,1430.2201315555883
1998-11-24,1377.3857553748278
1998-11-25,1329.5113057255405
1998-11-26,1317.7633668461933
1998-11-27,1288.6996389341139
1998-11-28,1369.8271164665373
1998-11-29,1428.5215385324816
1998-11-30,1274.2230353744646
1998-12-01,1408.7369013072087
1998-12-02,1421.190039306904
1998-12-03,1310.203580419257
1998-12-04,1319.8902408880897
1998-12-05,1370.549093736643
1998-12-06,1318.5731474817294
1998-12-07,1383.375188899778
1998-12-08,1416.54279005965
1998-12-09,1430.5484691548281
1998-12-10,1425.2852434058154
1998-12-11,1412.705719566477
1998-12-12,1300.0684500259626
1998-12-13,1304.266499927042
1998-12-14,1389.0218115430512
1998-12-15,1357.4257757693044
1998-12-16,1384.2715474852787
1998-12-17,1304.1129658019813
1998-12-18,1305.632915186044
1998-12-19,1337.9385564820607
1998-12-20,1399.1894907489639
1998-12-21,1424.4849296131904
1998-12-22,1366.4302324460684
1998-12-23,1286.1488521812958
1998-12-24,1402.655628669564
1998-12-25,1323.6601363621182
1998-12-26,1337.2411664204787
1998-12-27,1347.7645008413197
1998-12-28,1293.9239145628796
1998-12-29,1349.2020320849354
1998-12-30,1417.3286989795943
1998-12-31,1342.1869200163178
1999-01-01,1260.0
1999-01-02,1270.4076759958216
1999-01-03,1266.5466023570668
1999-01-04,1264.1063786410189
1999-01-05,1268.439339210214
1999-01-06,1262.986757634083
1999-01-07,1269.4754458129921
1999-01-08,1263.3949138137789
1999-01-09,1279.6894291083636
1999-01-10,1265.7238448977666
1999-01-11,1283.706193309668
1999-01-12,1286.6101283348576
1999-01-13,1269.0181850021502
1999-01-14,1283.2398182814222
1999-01-15,1267.6456958883596
1999-01-16,1277.3310389734222
1999-01-17,1285.7933491147783
1999-01-18,1288.8773131963017
1999-01-19,1277.0533565946025
1999-01-20,1261.7320280893668
1999-01-21,1281.5084694757113
1999-01-22,1270.9593358084196
1999-01-23,1272.3097709797833
1999-01-24,1278.9688304941858
1999-01-25,1275.6153071867243
1999-01-26,1260.627824779705
1999-01-27,1282.3913866123705
1999-01-28,1275.3099530899167
1999-01-29,1263.2285005884546
1999-01-30,1260.1629130704866
1999-01-31,1277.5353490416994
1999-02-01,1262.9182643660283
1999-02-02,1282.06215929312
1999-02-03,1285.5746161245488
1999-02-04,1284.2523081523746
1999-02-05,1284.3323527038972
1999-02-06,1287.6276853775805
1999-02-07,1271.5818267701982
1999-02-08,1280.5303221095041
1999-02-09,1289.4056949856908
1999-02-10,1280.216920957361
1999-02-11,1277.2025223133073
1999-02-12,1269.9432287442344
1999-02-13,1286.5774017709402
1999-02-14,1273.5229139598532
1999-02-15,1274.8679234060583
1999-02-16,1287.176510571096
1999-02-17,1278.3155488070472
1999-02-18,1270.5504668722085
1999-02-19,1276.062521410302
1999-02-20,1281.5225827871993
1999-02-21,1283.0723411344486
1999-02-22,1269.1345940973088
1999-02-23,1270.021494519597
1999-02-24,1283.8341348811111
1999-02-25,1269.1608014725728
1999-02-26,1281.9939678792923
1999-02-27,1270.5522585996935
1999-02-28,1268.0524532363097
1999-03-01,1271.059842850501
1999-03-02,1284.7714886659815
1999-03-03,1268.5101046859365
1999-03-04,1277.9491690081707
1999-03-05,1268.5455753978256
1999-03-06,1279.3058956171244
1999-03-07,1288.3046371677701
1999-03-08,1269.9562520522336
1999-03-09,1267.3436594285731
1999-03-10,1275.111783812914
1999-03-11,1272.2592621213728
1999-03-12,1287.0697073820788
1999-03-13,1278.7873604278627
1999-03-14,1274.8736095366066
1999-03-15,1273.9021464810305
1999-03-16,1289.7164946553435
1999-03-17,1279.3019187692225
1999-03-18,1273.9480105483344
1999-03-19,1261.632847449426
1999-03-20,1288.3358614097015
1999-03-21,1261.1773911598768
1999-03-22,1271.8324718495762
1999-03-23,1284.7126897236776
1999-03-24,1277.0524835932306
1999-03-25,1269.1761381219449
1999-03-26,1263.1559487088568
1999-03-27,1287.4559033191806
1999-03-28,1266.8577945882093
1999-03-29,1282.3343376343203
1999-03-30,1283.3369979839842
1999-03-31,1275.5149271883374
1999-04-01,1290.0
1999-04-02,1105.5232671157667
1999-04-03,1150.3879639598254
1999-04-04,1094.580215286757
1999-04-05,1187.4757813777726
1999-04-06,1093.633911608859
1999-04-07,1167.2130720645487
1999-04-08,1148.773237873532
1999-04-09,1225.8816516415209
1999-04-10,1271.5885284986002
1999-04-11,1095.312010109115
1999-04-12,1285.7736219216906
1999-04-13,1149.631138361915
1999-04-14,1201.5355091389529
1999-04-15,1261.7467118748425
1999-04-16,1244.586912704846
1999-04-17,1257.8506171011402
1999-04-18,1163.3880133367718
1999-04-19,1248.2403000728552
1999-04-20,1125.8757679625928
1999-04-21,1178.5961630741872
1999-04-22,1244.0988118222351
1999-04-23,1164.3493207545982
1999-04-24,1222.5288064834383
1999-04-25,1165.4813484699384
1999-04-26,1106.7164213796093
1999-04-27,1146.1266069369192
1999-04-28,1104.050638208997
1999-04-29,1208.5946691377633
1999-04-30,1114.2074600517933
1999-05-01,1180.4896781272334
1999-05-02,1274.2098260056853
1999-05-03,1148.8709273822224
1999-05-04,1170.8320657164672
1999-05-05,1153.8561751069378
1999-05-06,1168.9274417389524
1999-05-07,1092.9909228687156
1999-05-08,1232.124129260682
1999-05-09,1204.0137925902345
1999-05-10,1131.6502219649853
1999-05-11,1180.4567085457645
1999-05-12,1151.1129238972037
1999-05-13,1110.707394441242
1999-05-14,1256.2123656250237
1999-05-15,1171.315445136886
1999-05-16,1143.5691054249107
1999-05-17,1169.6545376360975
1999-05-18,1113.991923396571
1999-05-19,1202.5403412665833
1999-05-20,1133.3049123142014
1999-05-21,1093.1364104670047
1999-05-22,1248.1977959343023
1999-05-23,1156.2289205259208
1999-05-24,1116.2484914337583
1999-05-25,1241.4467310212783
1999-05-26,1207.8184396376075
1999-05-27,1156.718621292231
1999-05-28,1151.8509405784816
1999-05-29,1188.6855484380321
1999-05-30,1216.5778817278651
1999-05-31,1105.1273728358283
1999-06-01,1289.6642941998361
1999-06-02,1195.6367299703338
1999-06-03,1218.651688223118
1999-06-04,1265.2917722568864
1999-06-05,1244.5980063433144
1999-06-06,1239.3286938381966
1999-06-07,1095.516444532469
1999-06-08,1136.2106555274486
1999-06-09,1093.2394783239722
1999-06-10,1217.0105020210017
1999-06-11,1266.8310815410423
1999-06-12,1183.3330377697146
1999-06-13,1256.8344019789622
1999-06-14,1206.9778566121602
1999-06-15,1180.142535706937
1999-06-16,1234.9488509778369
1999-06-17,1223.4975942641652
1999-06-18,1250.8507856232861
1999-06-19,1128.6168252297214
1999-06-20,1261.7920314688085
1999-06-21,1130.8995582335906
1999-06-22,1093.819298246358
1999-06-23,1090.7587821012635
1999-06-24,1284.487342851471
1999-06-25,1112.16746619689
1999-06-26,1161.5231947774853
1999-06-27,1122.7478404728886
1999-06-28,1167.1677861529604
1999-06-29,1109.5076824488906
1999-06-30,1252.9382317071777
1999-07-01,1090.0
1999-07-02,1760.650085539888
1999-07-03,1275.925941398222
1999-07-04,1112.425239164637
1999-07-05,1906.7300735917765
1999-07-06,1263.9339227302037
1999-07-07,1467.4276903928062
1999-07-08,1445.8156582532843
1999-07-09,1324.806691463886
1999-07-10,1676.1510286286946
1999-07-11,1968.985637854234
1999-07-12,1275.4849356968255
1999-07-13,1648.911686660228
1999-07-14,1952.3112906703627
1999-07-15,1532.3567127070235
1999-07-16,1251.4397244701704
1999-07-17,1591.5243724065406
1999-07-18,1782.1696711960951
1999-07-19,1364.4597083730653
1999-07-20,1483.1895280322894
1999-07-21,1113.5289305977012
1999-07-22,1614.8665635638072
1999-07-23,1904.721443015048
1999-07-24,1459.5629414346752
1999-07-25,1173.0961514491878
1999-07-26,1592.789038453595
1999-07-27,1611.545087478713
1999-07-28,1523.3438920896228
1999-07-29,2022.1302959113304
1999-07-30,1235.2087656153633
1999-07-31,1582.2333228942314
1999-08-01,1777.6571786992286
1999-08-02,2044.8464922987152
1999-08-03,1335.2440490201038
1999-08-04,1347.1824148339492
1999-08-05,1978.8764970641062
1999-08-06,1998.6201001313984
1999-08-07,1356.7761530540051
1999-08-08,1885.9935755677734
1999-08-09,2020.7249702730523
1999-08-10,1126.0429030498872
1999-08-11,1324.627610448263
1999-08-12,1530.4818210480184
1999-08-13,1190.089940994189
1999-08-14,1487.2697335771436
1999-08-15,1284.1499932860363
1999-08-16,1434.7798042857817
1999-08-17,1865.4186662685565
1999-08-18,1453.6075812565155
1999-08-19,1903.486893992725
1999-08-20,1734.57410294788
1999-08-21,1847.696739323338
1999-08-22,1109.6342938980033
1999-08-23,2025.3450354931224
1999-08-24,1478.4326183787578
1999-08-25,1206.5911975738575
1999-08-26,1677.5867767919124
1999-08-27,1440.7852847450058
1999-08-28,1497.9399072928766
1999-08-29,1948.1285450236744
1999-08-30,1297.5116819335844
1999-08-31,1217.365777171616
1999-09-01,1262.5186493439703
1999-09-02,1628.825626790243
1999-09-03,1157.9913311847122
1999-09-04,1317.8027583009446
1999-09-05,1552.2174821969793
1999-09-06,1532.9362507008236
1999-09-07,1635.0469474600586
1999-09-08,1804.8964781516697
1999-09-09,1328.215372136046
1999-09-10,1464.1117743477157
1999-09-11,1587.4750436551021
1999-09-12,1413.1745932186448
