Index,Mac
2007-04-01,141.0
2007-04-02,198.40647975053648
2007-04-03,348.36731966714535
2007-04-04,372.0469966695603
2007-04-05,181.65687378343392
2007-04-06,254.69939372647312
2007-04-07,485.0211850605086
2007-04-08,206.65140422111875
2007-04-09,217.59127633124598
2007-04-10,327.088554560333
2007-04-11,143.2143785363832
2007-04-12,330.70197009154174
2007-04-13,304.0870268233439
2007-04-14,240.4007094103112
2007-04-15,205.3694813460143
2007-04-16,236.189983464682
2007-04-17,215.68193637272685
2007-04-18,458.2635832990806
2007-04-19,338.3337409934801
2007-04-20,480.14430535613945
2007-04-21,340.8951425426312
2007-04-22,191.90181735281203
2007-04-23,350.9105504370652
2007-04-24,150.06079237142933
2007-04-25,212.03629588968045
2007-04-26,426.1048717971039
2007-04-27,369.9708473001422
2007-04-28,463.86194981129756
2007-04-29,295.58051043007345
2007-04-30,374.4244897426269
2007-05-01,436.17655539783294
2007-05-02,255.74701999334428
2007-05-03,478.66923526247984
2007-05-04,321.6044821878953
2007-05-05,395.0243692796603
2007-05-06,460.2758930252689
2007-05-07,417.7922001620614
2007-05-08,151.24764738971476
2007-05-09,311.2277552806502
2007-05-10,200.50746269511077
2007-05-11,454.88143172997655
2007-05-12,485.4711498210617
2007-05-13,283.15214356448837
2007-05-14,413.2845103675376
2007-05-15,228.969780038104
2007-05-16,241.05531848939688
2007-05-17,460.9835833257855
2007-05-18,392.94072898572824
2007-05-19,306.952413949551
2007-05-20,362.17214001130736
2007-05-21,392.5476853438454
2007-05-22,400.52487892147496
2007-05-23,422.86762913054054
2007-05-24,313.26780215119254
2007-05-25,446.7434714755563
2007-05-26,211.21144575006582
2007-05-27,303.6260842826031
2007-05-28,469.1098468602808
2007-05-29,344.1273371539718
2007-05-30,333.71919666386276
2007-05-31,303.991432996434
2007-06-01,299.017227459143
2007-06-02,229.59260686917668
2007-06-03,468.9166466537964
2007-06-04,371.86330412444386
2007-06-05,377.08290060434615
2007-06-06,285.71520020043306
2007-06-07,401.65182679488646
2007-06-08,198.7564598981017
2007-06-09,472.2676756141316
2007-06-10,200.27889543312682
2007-06-11,470.4692454013817
2007-06-12,187.33287891998833
2007-06-13,456.2625032046027
2007-06-14,206.27698081008413
2007-06-15,479.7687627823237
2007-06-16,409.29900947314616
2007-06-17,481.10011745799255
2007-06-18,314.0306586191208
2007-06-19,343.6838068183957
2007-06-20,195.27694309115935
2007-06-21,252.1892996540671
2007-06-22,155.19413219733374
2007-06-23,353.24143193983815
2007-06-24,322.7349695122624
2007-06-25,484.7917212078254
2007-06-26,235.76428788458412
2007-06-27,376.8710294741678
2007-06-28,336.06505237897727
2007-06-29,259.85089192617056
2007-06-30,202.7570553663366
2007-07-01,489.0
2007-07-02,988.1648719953821
2007-07-03,667.7404803340429
2007-07-04,1001.7324018734297
2007-07-05,776.7941127267502
2007-07-06,781.2300412399111
2007-07-07,542.2299214567255
2007-07-08,796.4705903742855
2007-07-09,611.4752508277531
2007-07-10,552.182592237074
2007-07-11,539.4238753528765
2007-07-12,1024.8714661954182
2007-07-13,954.5533282511996
2007-07-14,966.0086087484265
2007-07-15,733.5258171801456
2007-07-16,701.4130407755264
2007-07-17,981.6982146640449
2007-07-18,522.7686934056342
2007-07-19,741.5144928382234
2007-07-20,880.7946231669275
2007-07-21,923.4906492205796
2007-07-22,615.0030830340801
2007-07-23,966.8632087935807
2007-07-24,939.9452213673887
2007-07-25,964.9080071023118
2007-07-26,901.7445780563174
2007-07-27,602.8562470484123
2007-07-28,819.8844172368182
2007-07-29,974.3053671917585
2007-07-30,818.7984029271133
2007-07-31,981.3796096519748
2007-08-01,997.3997505576788
2007-08-02,557.383797193967
2007-08-03,586.3081109423982
2007-08-04,573.9499062606037
2007-08-05,803.0566670373854
2007-08-06,716.2796407925181
2007-08-07,965.4077311618521
2007-08-08,539.0876859307422
2007-08-09,704.1356789752202
2007-08-10,546.7259791253574
2007-08-11,634.254263994914
2007-08-12,600.1292281042488
2007-08-13,511.7544612811623
2007-08-14,759.8596637681446
2007-08-15,793.1830151998929
2007-08-16,607.0295232438013
2007-08-17,706.1382627529867
2007-08-18,974.2355361094161
2007-08-19,725.3743867591088
2007-08-20,655.0292400806225
2007-08-21,631.4335852868146
2007-08-22,607.7465585744944
2007-08-23,726.0224639736892
2007-08-24,883.7954885547889
2007-08-25,854.2526107941048
2007-08-26,984.4599830594098
2007-08-27,690.5961670122963
2007-08-28,533.5906030493803
2007-08-29,830.6306914625653
2007-08-30,620.063238229843
2007-08-31,564.6648053883597
2007-09-01,534.7595940865381
2007-09-02,970.3737054583312
2007-09-03,846.4235095875442
2007-09-04,591.0704241094666
2007-09-05,514.6646106575779
2007-09-06,1026.0712044537413
2007-09-07,1000.0158263580329
2007-09-08,912.583976493325
2007-09-09,1015.848347548354
2007-09-10,934.1532716747404
2007-09-11,1000.7732586734232
2007-09-12,716.7675238880169
2007-09-13,997.758740022203
2007-09-14,562.9926084552221
2007-09-15,534.2953459291857
2007-09-16,681.8212351496624
2007-09-17,729.2104900492973
2007-09-18,1027.02453881194
2007-09-19,638.4491361659723
2007-09-20,833.8906938809748
2007-09-21,678.6948847302756
2007-09-22,904.2480302185083
2007-09-23,1006.7989424918059
2007-09-24,779.8351142670692
2007-09-25,502.60677825236434
2007-09-26,769.1342655638374
2007-09-27,899.4748563025661
2007-09-28,840.8068456197434
2007-09-29,596.0125349232262
2007-09-30,935.3347865210251
2007-10-01,1036.0
2007-10-02,888.5959437205031
2007-10-03,914.211667944889
2007-10-04,913.0353660929889
2007-10-05,858.9931321508489
2007-10-06,955.4938158929609
2007-10-07,889.5095227771935
